prodcode	productname	drugsubstance	bnfcode	bnfchapter
10216	Adcortyl In Orabase for Mouth Ulcer 0.1% oromucosal paste (Bristol-Myers Squibb Pharmaceuticals Ltd)	Triamcinolone acetonide	00000000	Unknown
10231	Clioquinol 3% with betamethasone valerate 0.1% cream	Clioquinol/Betamethasone Valerate	13040400/13100101	Potent Topical Corticosteroids/Antibacterial Preparations Only Used Topically
10274	Diazepam 2mg/5ml oral solution sugar free	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
10402	Valium 10mg Tablet (Roche Products Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
10403	Adcortyl with graneodin Ointment (E R Squibb and Sons Ltd)	Neomycin Sulphate/Gramicidin/Triamcinolone Acetonide	13040400/13100101	Potent Topical Corticosteroids/Antibacterial Preparations Only Used Topically
10732	Triamcinolone acetonide Ointment	Triamcinolone Acetonide	13040400	Potent Topical Corticosteroids
10864	Betamethasone 500microgram tablets	Betamethasone	06030200	Glucocorticoid Therapy
11123	Triamcinolone acetonide 10mg/ml IA/ID	Triamcinolone Acetonide	10010202	Local Corticosteroid Injections
11134	Betamethasone valerate 0.05% rectal ointment	Lidocaine Hydrochloride/Phenylephrine Hydrochloride/Betamethasone Valerate	01070200	Compound Haemorrhoidal Preparations With Corticosteroids
11149	Betnelan 500microgram tablets (Focus Pharmaceuticals Ltd)	Betamethasone	06030200	Glucocorticoid Therapy
11433	Clarithromycin 500mg with lansoprazole 30mg and amoxicillin 500mg triple pack	Amoxicillin Trihydrate/Lansoprazole/Clarithromycin	01030500/05010103	Proton Pump Inhibitors/Broad-spectrum Penicillins
11434	Neomycin sulphate with betamethasone sodium phosphate 0.5% + 0.1% Eye drops	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
11597	Clioquinol 3% with Betamethasone valerate 0.1% ointment	Clioquinol/Betamethasone Valerate	13040400/13100101	Potent Topical Corticosteroids/Antibacterial Preparations Only Used Topically
11782	Vista-methasone -n Ear drops (Martindale Pharmaceuticals Ltd)	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
12074	Ledercort Ointment (Wyeth Pharmaceuticals)	Triamcinolone Acetonide	13040400	Potent Topical Corticosteroids
12124	Diazepam 10mg/2ml solution for injection ampoules	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
12237	Diazepam 10mg/2ml emulsion for injection ampoules	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
12849	Diazepam 10mg/5ml oral suspension	Diazepam	04010201/04080200/04080300/04105000/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
12961	Neomycin 0.35% / Triamcinolone 0.1% ear drops	Neomycin/Triamcinolone acetonide	00000000	Unknown
13015	Losec MUPS 10mg gastro-resistant tablets (AstraZeneca UK Ltd)	Omeprazole magnesium	01030500	Proton Pump Inhibitors
13211	Betamethasone valerate 0.1% / Clioquinol 3% ointment	Clioquinol/Betamethasone valerate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
13269	Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops	Betamethasone sodium phosphate/Neomycin sulfate	11030100/11040100/12010151/12010152/12020300	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)/Anti-inflammatory Preparations/Anti-infective Preparations/Nasal Preparations For Infection
13282	Omeprazole 5mg/5ml oral suspension	Omeprazole	01030500	Proton Pump Inhibitors
13756	Diazemuls 10mg/2ml emulsion for injection ampoules (Accord Healthcare Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
13981	Adcortyl 10mg/ml Intradermal injection (E R Squibb and Sons Ltd)	Triamcinolone Acetonide	10010202	Local Corticosteroid Injections
14335	Adcortyl Intra-articular / Intradermal 10mg/1ml suspension for injection ampoules (Bristol-Myers Squibb Pharmaceuticals Ltd)	Triamcinolone acetonide	10010202	Local Corticosteroid Injections
14379	Lipantil Micro 67 capsules (Mylan)	Fenofibrate micronised	02120300	Fibrates
14687	Neomycin 0.5% / Betamethasone 0.1% eye ointment	Neomycin sulfate/Betamethasone sodium phosphate	00000000	Unknown
14894	Vista-methasone -n Nasal drops (Martindale Pharmaceuticals Ltd)	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
14958	Triamcinolone acetonide 10mg/1ml suspension for injection ampoules	Triamcinolone acetonide	10010202	Local Corticosteroid Injections
14962	Adcortyl Intra-articular / Intradermal 50mg/5ml suspension for injection vials (Bristol-Myers Squibb Pharmaceuticals Ltd)	Triamcinolone acetonide	10010202	Local Corticosteroid Injections
14973	Vistamethasone 0.1% ear/eye/nose drops (Martindale Pharmaceuticals Ltd)	Betamethasone sodium phosphate	11040100/12010151/12020101	Corticosteroids (in Eye Preparations)/Anti-inflammatory Preparations/Corticosteroids Used In Nasal Allergy
15016	Triamcinolone hexacetonide 5mg/ml Injection	Triamcinolone Hexacetonide	10010202	Local Corticosteroid Injections
15275	Omeprazole 10mg gastro-resistant capsules (Teva UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
15290	Lansoprazole with amoxicillin and clarithromycin 30mg + 500mg + 500mg Triple pack	Amoxicillin Trihydrate/Lansoprazole/Clarithromycin	01030500/05010103	Proton Pump Inhibitors/Broad-spectrum Penicillins
15617	Ledercort 4mg Tablet (Wyeth Pharmaceuticals)	Triamcinolone Acetonide	06030200	Glucocorticoid Therapy
15717	Betamethasone 4mg/1ml solution for injection ampoules	Betamethasone sodium phosphate	06030200/10010202	Glucocorticoid Therapy/Local Corticosteroid Injections
16522	Arava 10mg tablets (Sanofi)	Leflunomide	10010302	Drugs Affecting The Immune Response In Rheumatic Disease
16582	Triamcinolone acetonide 40mg/ml suspension for injection	Triamcinolone Acetonide	06030200/10010202	Glucocorticoid Therapy/Local Corticosteroid Injections
16583	Kenalog Intra-articular / Intramuscular 40mg/1ml suspension for injection vials (Bristol-Myers Squibb Pharmaceuticals Ltd)	Triamcinolone acetonide	06030200/10010202	Glucocorticoid Therapy/Local Corticosteroid Injections
16610	Valium 5mg/ml Injection (Roche Products Ltd)	Diazepam	04010200/04080200	Anxiolytics/Drugs Used In Status Epilepticus
16734	Diazepam rectubes 20mg Rectal tubes (C P Pharmaceuticals Ltd)	Diazepam	04010200/04080200	Anxiolytics/Drugs Used In Status Epilepticus
16815	Triamcinolone hexacetonide 20mg/ml Injection	Benzyl Alcohol/Triamcinolone Hexacetonide	10010202	Local Corticosteroid Injections
17373	Econazole with triamcinolone cream	Econazole Nitrate/Triamcinolone Acetonide	13040400/13100200	Potent Topical Corticosteroids/Antifungal Preparations (topical, For Skin Conditions)
17403	Triamcinolone acetonide with neomycin nystatin and gramicidin Ointment	Neomycin Sulphate/Nystatin/Gramicidin/Triamcinolone Acetonide	13040400/13100101	Potent Topical Corticosteroids/Antibacterial Preparations Only Used Topically
17614	Zimbacol XL 400mg tablets (Archimedes Pharma UK Ltd)	Bezafibrate	02120300	Fibrates
17642	Arava 20mg tablets (Sanofi)	Leflunomide	10010302	Drugs Affecting The Immune Response In Rheumatic Disease
18225	Esomeprazole 40mg powder for solution for injection vials	Esomeprazole sodium	01030500	Proton Pump Inhibitors
18300	Ledercort Cream (Wyeth Pharmaceuticals)	Triamcinolone Acetonide	13040400	Potent Topical Corticosteroids
18460	Arava 100mg tablets (Sanofi)	Leflunomide	10010302	Drugs Affecting The Immune Response In Rheumatic Disease
18488	Diazepam 2.5mg RecTubes (Wockhardt UK Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
18898	Vistamethasone N ear/eye/nose drops (Martindale Pharmaceuticals Ltd)	Betamethasone sodium phosphate/Neomycin sulfate	11040000	Corticosteroids And Other Anti-inflammatory Preparations (for The Eye)
19299	Valium 5mg Capsule (Roche Products Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
19908	Triamcinolone 2mg Tablet	Triamcinolone Acetonide	06030200	Glucocorticoid Therapy
20164	Valium 2mg Capsule (Roche Products Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
20514	Valium 10mg Suppository (Roche Products Ltd)	Diazepam	04010200/04080200	Anxiolytics/Drugs Used In Status Epilepticus
20968	Diazepam 2mg/5ml oral solution sugar free (Actavis UK Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
21469	Diprosone duopack Ointment (Manufacturer unknown)	Betamethasone Dipropionate	13040400	Potent Topical Corticosteroids
21591	Neomycin sulphate with betamethasone sodium phosphate 0.5% + 0.1% Eye drops	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
21755	Triamcinolone acetonide with chlortetracycline hc Cream	Chlortetracycline Hydrochloride/Triamcinolone Acetonide	13040400/13100102	Potent Topical Corticosteroids/Antibacterial Preparations Also Used Systemically (for Skin Conditions)
22047	Kenalog Intramuscular 80mg/2ml suspension for injection pre-filled syringes (Bristol-Myers Squibb Pharmaceuticals Ltd)	Triamcinolone acetonide	00000000	Unknown
22577	Betnesol 4mg/1ml solution for injection ampoules (Focus Pharmaceuticals Ltd)	Betamethasone sodium phosphate	06030200/10010202	Glucocorticoid Therapy/Local Corticosteroid Injections
22709	Losec Infusion 40mg powder for solution for infusion vials (AstraZeneca UK Ltd)	Omeprazole sodium	01030500	Proton Pump Inhibitors
23035	Betamethasone dipropionate with fluocinonide, gentamicin with salicylic acid ointment	Betamethasone Dipropionate/fluocinonide/gentamicin Sulphate/panthenol/salicylic Acid	13040400/13100102	Potent Topical Corticosteroids/Antibacterial Preparations Also Used Systemically (for Skin Conditions)
23111	Triamcinolone 4mg Tablet	Triamcinolone Acetonide	06030200	Glucocorticoid Therapy
23153	Liparol 400 XL tablets (Ashbourne Pharmaceuticals Ltd)	Bezafibrate	02120300	Fibrates
23355	Triamcinolone acetonide with gramicidin and neomycin Cream	Neomycin Sulphate/Gramicidin/Triamcinolone Acetonide	13040400/13100101	Potent Topical Corticosteroids/Antibacterial Preparations Only Used Topically
23820	Diazepam 20mg rectal tubes	Diazepam	04010200/04080200	Anxiolytics/Drugs Used In Status Epilepticus
24014	Ledercort 2mg Tablet (Wyeth Pharmaceuticals)	Triamcinolone Acetonide	06030200	Glucocorticoid Therapy
24360	Heartburn relief 10mg Tablet (Galpharm International Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
25245	Omeprazole 40mg powder and solvent for solution for injection vials	Omeprazole sodium	01030500	Proton Pump Inhibitors
25596	Nexium I.V 40mg powder for solution for injection vials (AstraZeneca UK Ltd)	Esomeprazole sodium	01030500	Proton Pump Inhibitors
25785	Neomycin sulphate with betamethasone sodium phosphate 0.5% + 0.1% Eye/ear/nose drops	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
26537	Omeran 20mg gastro-resistant tablets (Ranbaxy (UK) Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
28295	Diprosone duopack Cream (Manufacturer unknown)	Betamethasone Dipropionate	13040400	Potent Topical Corticosteroids
28347	Diazepam 2mg Tablet (Crosspharma Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
28424	Betamethasone 0.10% Cream (Futuna Ltd)	Betamethasone valerate	13040400	Potent Topical Corticosteroids
28698	Valium 5mg Suppository (Roche Products Ltd)	Diazepam	04010200/04080200	Anxiolytics/Drugs Used In Status Epilepticus
28703	Evacalm 5mg Tablet (Unimed Pharmaceuticals Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
29213	Bezagen XL 400mg tablets (Mylan)	Bezafibrate	02120300	Fibrates
29328	Bezafibrate 200mg tablets (A A H Pharmaceuticals Ltd)	Bezafibrate	02120300	Fibrates
29329	Betamethasone 0.10% Ointment (Futuna Ltd)	Betamethasone valerate	13040400	Potent Topical Corticosteroids
29422	Losec 40mg Injection (AstraZeneca UK Ltd)	Omeprazole sodium	01030500	Proton Pump Inhibitors
29457	Omeprazole 20mg gastro-resistant capsules (IVAX Pharmaceuticals UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
29468	Omeprazole 40mg gastro-resistant capsules (IVAX Pharmaceuticals UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
29566	Hydroxychloroquine 200mg/5ml oral solution	Hydroxychloroquine sulfate	10010300	Drugs That Suppress The Rheumatic Disease Process
29835	Omeprazole 40mg powder for solution for infusion vials	Omeprazole sodium	01030500	Proton Pump Inhibitors
29945	Diazepam 2mg tablets (Ranbaxy (UK) Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
30244	Triamcinolone acetonide 40mg/ml injection	Triamcinolone Acetonide	06030200/10010202	Glucocorticoid Therapy/Local Corticosteroid Injections
30321	Valium 2mg/5ml Oral solution (Roche Products Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
30926	Omeprazole 10mg gastro-resistant capsules (IVAX Pharmaceuticals UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
31213	Omeran 10mg gastro-resistant tablets (Ranbaxy (UK) Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
31221	Bezafibrate 200mg tablets (Mylan)	Bezafibrate	02120300	Fibrates
31633	Valclair 10mg suppositories (Durbin Plc)	Diazepam	00000000	Unknown
31783	Fenogal 200mg capsules (Genus Pharmaceuticals Ltd)	Fenofibrate	00000000	Unknown
32022	Vipsogal Ointment (Harley Street Supplies Ltd)	Betamethasone Dipropionate/fluocinonide/gentamicin Sulphate/panthenol/salicylic Acid	13040400/13100102	Potent Topical Corticosteroids/Antibacterial Preparations Also Used Systemically (for Skin Conditions)
32296	Diazepam 5mg tablets (Actavis UK Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
32417	Diazepam 10mg/2ml solution for injection ampoules (Wockhardt UK Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
32853	Diazepam 2mg/5ml oral solution (Sandoz Ltd)	Diazepam	04010201/04080200/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
32914	Omeprazole 10mg gastro-resistant tablets (Sandoz Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
32919	Omeprazole 20mg gastro-resistant tablets (Mylan)	Omeprazole	01030500	Proton Pump Inhibitors
32924	Omeprazole 20mg gastro-resistant tablets (Sandoz Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
33022	Zanprol 10mg gastro-resistant tablets (Omega Pharma Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
33070	Solis 5mg Capsule (Galen Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
33131	Triamcinolone acetonide 80mg/2ml suspension for injection pre-filled syringes	Triamcinolone acetonide	00000000	Unknown
33326	Omeprazole 10mg gastro-resistant tablets (Teva UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
33565	Omeprazole 20mg Tablet (Neo Laboratories Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
33603	Fibrazate XL 400mg tablets (Sandoz Ltd)	Bezafibrate	02120300	Fibrates
33672	Diazepam 2mg tablets (A A H Pharmaceuticals Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
33776	Diazepam 10mg/2ml solution for injection ampoules (Hameln Pharmaceuticals Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
33873	Losec I.V. 40mg powder and solvent for solution for injection vials (AstraZeneca UK Ltd)	Omeprazole sodium	01030500	Proton Pump Inhibitors
33944	Bezafibrate 200mg tablets (Teva UK Ltd)	Bezafibrate	02120300	Fibrates
34033	Diazepam 5mg/2.5ml rectal solution tube (Sandoz Ltd)	Diazepam	04010201/04080200/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
34045	Diazepam 5mg/5ml oral solution (Sandoz Ltd)	Diazepam	04010201/04080200/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
34165	Betnovate -n Cream (Glaxo Laboratories Ltd)	Neomycin Sulphate/Betamethasone Valerate	13040400/13100101	Potent Topical Corticosteroids/Antibacterial Preparations Only Used Topically
34181	Bezafibrate 400mg Modified-release tablet (Hillcross Pharmaceuticals Ltd)	Bezafibrate	02120300	Fibrates
34277	Gemfibrozil 600mg tablets (Teva UK Ltd)	Gemfibrozil	02120300	Fibrates
34279	Betamethasone valerate 0.1% cream (A A H Pharmaceuticals Ltd)	Betamethasone valerate	13040000/13040400	Topical Corticosteroids/Potent Topical Corticosteroids
34293	Diazepam 10mg tablets (Mylan)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
34302	Omeprazole 20mg gastro-resistant capsules (Mylan)	Omeprazole	01030500	Proton Pump Inhibitors
34329	Colchicine 500microgram tablets (UCB Pharma Ltd)	Colchicine	10010450	Acute Attacks Of Gout
34332	Omeprazole 10mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
34335	Diazepam 2mg tablets (Teva UK Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
34338	Diazepam 2mg tablets (Mylan)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
34340	Diazepam 10mg tablets (Ranbaxy (UK) Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
34411	Omeprazole 20mg gastro-resistant capsules (Teva UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
34469	Colchicine 500microgram tablets (Wockhardt UK Ltd)	Colchicine	10010450	Acute Attacks Of Gout
34482	Diazepam 5mg tablets (Teva UK Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
34524	Diazepam 2mg tablets (Actavis UK Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
34561	Diazepam 2mg Tablet (Regent Laboratories Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
34568	Omeprazole 10mg gastro-resistant capsules (Mylan)	Omeprazole	01030500	Proton Pump Inhibitors
34571	Omeprazole 10mg gastro-resistant capsules (Sandoz Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
34577	Omeprazole 20mg gastro-resistant capsules (Sandoz Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
34614	Diazepam 10mg/2.5ml rectal solution tube (Sandoz Ltd)	Diazepam	04010201/04080200/10020200/15010401/54140000	Benzodiazepines/Drugs Used In Status Epilepticus/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)/Therapy Of Convulsions Due To Poisoning
34615	Diazepam 5mg tablets (Mylan)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
34628	Betamethasone with neomycin Eye drops (C P Pharmaceuticals Ltd)	Neomycin Sulphate/Betamethasone Sodium Phosphate	11030100/11040100	Antibacterials (in Eye Preparation)/Corticosteroids (in Eye Preparations)
34635	Diazepam 5mg tablets (A A H Pharmaceuticals Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
34677	Diazepam 2mg tablets (IVAX Pharmaceuticals UK Ltd)	Diazepam	04010201/04080200/04080300/10020200/15010401	Benzodiazepines/Drugs Used In Status Epilepticus/Febrile Convulsions/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
34681	Diazepam 5mg Tablet (Crosspharma Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
34791	Omeprazole 40mg gastro-resistant capsules (Mylan)	Omeprazole	01030500	Proton Pump Inhibitors
34792	Omeprazole 10mg gastro-resistant capsules (Actavis UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
34807	Diazepam 10mg tablets (Actavis UK Ltd)	Diazepam	04010201/04080400/04105000/10020200/15010401	Benzodiazepines/Other Antiepileptic Drugs/Drugs Used In Substance Dependence - Alcohol Dependence/Skeletal Muscle Relaxants/Benzodiazepines (peri-operative)
34812	Omeprazole 20mg Gastro-resistant capsule (Niche Generics Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
34841	Omeprazole 20mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
34843	Omeprazole 20mg gastro-resistant capsules (Dexcel-Pharma Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
34876	Diazepam 2mg Tablet (Berk Pharmaceuticals Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
34892	Diazepam 5mg Tablet (Berk Pharmaceuticals Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
34967	Omeprazole 20mg gastro-resistant capsules (Actavis UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
34984	Heartburn relief 10mg Tablet (A A H Pharmaceuticals Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
35101	Omeprazole 10mg/5ml oral suspension	Omeprazole	01030500	Proton Pump Inhibitors
35257	Omeprazole 40mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
35383	Omeprazole 20mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
35578	Triamcinolone acetonide 50mg/5ml suspension for injection vials	Triamcinolone acetonide	10010202	Local Corticosteroid Injections
35698	Mepradec 20mg gastro-resistant capsules (Discovery Pharmaceuticals)	Omeprazole	01030500	Proton Pump Inhibitors
35699	Mepradec 10mg gastro-resistant capsules (Discovery Pharmaceuticals)	Omeprazole	01030500	Proton Pump Inhibitors
36046	Omeprazole 40mg Gastro-resistant capsule (Teva UK Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
36581	Atensine 10mg Tablet (Rorer Pharmaceuticals Ltd)	Diazepam	04010100/04010200	Hypnotics/Anxiolytics
36867	Betamethasone valerate 0.1% ointment in white soft paraffin ointment 10%	Betamethasone Valerate	13040400	Potent Topical Corticosteroids
36892	Omeprazole 10mg gastro-resistant tablets (Dexcel-Pharma Ltd)	Omeprazole	01030500	Proton Pump Inhibitors
37737	Kenalog 40mg/ml Injection (E R Squibb and Sons Ltd)	Triamcinolone Acetonide	06030200/10010202	Glucocorticoid Therapy/Local Corticosteroid Injections
37815	Lansoprazole 30mg gastro-resistant capsules (Sandoz Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
37921	Fucibet Lipid cream (LEO Pharma)	Betamethasone valerate/Fusidic acid	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
38410	Diazepam 5mg Rectal tubes (Hillcross Pharmaceuticals Ltd)	Diazepam	04010200/04080200	Anxiolytics/Drugs Used In Status Epilepticus
38957	Xamiol gel (LEO Pharma)	Betamethasone dipropionate/Calcipotriol monohydrate	13040000/13050200	Topical Corticosteroids/Preparations For Psoriasis
38959	Calcipotriol 0.005% / Betamethasone dipropionate 0.05% gel	Betamethasone dipropionate/Calcipotriol monohydrate	13040000/13050200	Topical Corticosteroids/Preparations For Psoriasis
39420	Bezalip Mono 400mg modified-release tablets (Teva UK Ltd)	Bezafibrate	02120300	Fibrates
39576	Bezalip 200mg tablets (Teva UK Ltd)	Bezafibrate	02120300	Fibrates
39904	Lansoprazole 15mg gastro-resistant capsules (Sandoz Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
40387	Coal tar 5% Ointment (Royal Free Hospital)	Betamethasone Valerate/Coal Tar Solution	13040400/13050200	Potent Topical Corticosteroids/Preparations For Psoriasis
40393	Coal tar solution in Betnovate RD (HRI) ointment 5%	Betamethasone Valerate/Coal Tar Solution	13040400/13050200	Potent Topical Corticosteroids/Preparations For Psoriasis
40446	Nasacort Allergy 55micrograms/dose nasal spray (Sanofi)	Triamcinolone acetonide	12020101	Corticosteroids Used In Nasal Allergy
40759	Lansoprazole 15mg gastro-resistant capsules (Teva UK Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
40858	Betesil 2.25mg medicated plasters (Genus Pharmaceuticals Ltd)	Betamethasone valerate	13040000	Topical Corticosteroids
40896	Lansoprazole 30mg gastro-resistant capsules (Teva UK Ltd)	Lansoprazole	01030500	Proton Pump Inhibitors
40973	Betamethasone valerate 2.25mg medicated plasters	Betamethasone valerate	13040000	Topical Corticosteroids
41364	Ketoprofen 100mg / Omeprazole 20mg modified-release capsules	Ketoprofen/Omeprazole	01030500/10010100	Proton Pump Inhibitors/Non-steroidal Anti-inflammatory Drugs
