prodcode	productname	drugsubstance	bnfcode	bnfchapter
27203	Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Teva UK Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
27495	Arpimycin 125mg/5ml Liquid (Rosemont Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
27504	Primacine 500mg/5ml Liquid (Pinewood Healthcare)	Erythromycin ethyl succinate	05010500	Macrolides
27768	Erythrolar 250mg Tablet (Lagap)	Erythromycin stearate	05010500	Macrolides
28289	Klaricid IV 500mg powder for solution for infusion vials (Mylan)	Clarithromycin	05010500	Macrolides
28349	Clarosip 125mg granules for oral suspension straws (Grunenthal Ltd)	Clarithromycin	00000000	Unknown
29154	Erythromycin 250mg Capsule (Actavis UK Ltd)	Erythromycin Lactobionate	05010500/13060201	Macrolides/Oral Antibacterials For Acne
29213	Bezagen XL 400mg tablets (Mylan)	Bezafibrate	02120300	Fibrates
29328	Bezafibrate 200mg tablets (A A H Pharmaceuticals Ltd)	Bezafibrate	02120300	Fibrates
29344	Erythromycin 250mg gastro-resistant tablets (Actavis UK Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
29504	Fluconazole 2mg/ml Infusion	Fluconazole	05020000/12030200	Antifungal Drugs/Oropharyngeal Anti-infective Drugs
30177	Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
30234	Erythromycin ethylsuccinate 125mg sachets	Erythromycin Ethyl Succinate	05010500	Macrolides
30520	Primacine 125mg/5ml Liquid (Pinewood Healthcare)	Erythromycin ethyl succinate	05010500	Macrolides
30980	Erythromycin ethyl succinate 500mg/5ml oral suspension (Kent Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
31221	Bezafibrate 200mg tablets (Mylan)	Bezafibrate	02120300	Fibrates
31428	Retcin 250mg Tablet (DDSA Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
31514	Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Abbott Laboratories Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
31530	Erythromycin 250mg gastro-resistant tablets (Ranbaxy (UK) Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
31689	Clarosip 187.5mg granules for oral suspension straws (Grunenthal Ltd)	Clarithromycin	00000000	Unknown
31690	Clarosip 250mg granules for oral suspension straws (Grunenthal Ltd)	Clarithromycin	00000000	Unknown
31783	Fenogal 200mg capsules (Genus Pharmaceuticals Ltd)	Fenofibrate	00000000	Unknown
32438	Fucidin 500mg powder and solvent for solution for infusion vials (LEO Pharma)	Sodium fusidate	05010700	Other Antibacterials
32898	Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
32902	Erythromycin ethyl succinate 250mg/5ml oral suspension (Kent Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
32939	Fusidic acid as fusidate sodium 250mg Tablet	Sodium Fusidate	05010700	Other Antibacterials
33248	Erythromycin 125mg/5ml Liquid (IVAX Pharmaceuticals UK Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
33304	Kerymax 250mg gastro-resistant capsules (Kent Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
33603	Fibrazate XL 400mg tablets (Sandoz Ltd)	Bezafibrate	02120300	Fibrates
33685	Erythromycin 250mg gastro-resistant tablets (Teva UK Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
33686	Erythromycin 250mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
33694	Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Mylan)	Erythromycin ethyl succinate	05010500	Macrolides
33695	Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Mylan)	Erythromycin ethyl succinate	05010500	Macrolides
33697	Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
33703	Erythromycin 250mg gastro-resistant tablets (Abbott Laboratories Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
33705	Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Teva UK Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
33944	Bezafibrate 200mg tablets (Teva UK Ltd)	Bezafibrate	02120300	Fibrates
34181	Bezafibrate 400mg Modified-release tablet (Hillcross Pharmaceuticals Ltd)	Bezafibrate	02120300	Fibrates
34189	Erythromycin 250mg Tablet (C P Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
34231	Erythromycin 125mg/5ml Liquid (Berk Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
34277	Gemfibrozil 600mg tablets (Teva UK Ltd)	Gemfibrozil	02120300	Fibrates
34303	Fluconazole 150mg capsules (Teva UK Ltd)	Fluconazole	05020100	Triazole Antifungals
34307	Fluconazole 50mg capsules (A A H Pharmaceuticals Ltd)	Fluconazole	05020100	Triazole Antifungals
34320	Fluconazole 150mg capsules (Actavis UK Ltd)	Fluconazole	05020100	Triazole Antifungals
34329	Colchicine 500microgram tablets (UCB Pharma Ltd)	Colchicine	10010450	Acute Attacks Of Gout
34334	Erythromycin 250mg gastro-resistant tablets (Mylan)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
34394	Clarithromycin 250mg tablets (Mylan)	Clarithromycin	05010500	Macrolides
34457	Fluconazole 50mg capsules (Mylan)	Fluconazole	05020100	Triazole Antifungals
34469	Colchicine 500microgram tablets (Wockhardt UK Ltd)	Colchicine	10010450	Acute Attacks Of Gout
34479	Erythromycin 250mg gastro-resistant tablets (Sovereign Medical Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
34512	Erythromycin 250mg gastro-resistant capsules (Teva UK Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
34514	Fluconazole 150mg capsules (Mylan)	Fluconazole	05020100	Triazole Antifungals
34533	Clarithromycin 250mg tablets (Teva UK Ltd)	Clarithromycin	05010500	Macrolides
34608	Clarithromycin 500mg tablets (Mylan)	Clarithromycin	05010500	Macrolides
34650	Clarithromycin 250mg tablets (A A H Pharmaceuticals Ltd)	Clarithromycin	05010500	Macrolides
34763	Fluconazole 50mg capsules (Actavis UK Ltd)	Fluconazole	05020100	Triazole Antifungals
34779	Erythromycin ethyl succinate 125mg/5ml oral suspension (Sandoz Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
34795	Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
34811	Clarithromycin 250mg/5ml oral suspension (Ranbaxy (UK) Ltd)	Clarithromycin	05010500	Macrolides
34817	Fluconazole 50mg Capsule (Niche Generics Ltd)	Fluconazole	05020000/12030200	Antifungal Drugs/Oropharyngeal Anti-infective Drugs
34837	Erythromycin 250mg Gastro-resistant tablet (Co-Pharma Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
34853	Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Teva UK Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
34869	Erythromycin 500mg Tablet (C P Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
34873	Erythromycin 250mg Tablet (Berk Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
34974	Clarithromycin 500mg tablets (Teva UK Ltd)	Clarithromycin	05010500	Macrolides
35635	Fluconazole 50mg/25ml solution for infusion vials	Fluconazole	05020100	Triazole Antifungals
35851	Fluconazole 50mg capsules (Ranbaxy (UK) Ltd)	Fluconazole	05020100	Triazole Antifungals
36514	Arpimycin 250mg/5ml Oral suspension (Rosemont Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
36544	Arpimycin 125mg/5ml Oral suspension (Rosemont Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
37022	Arpimycin 500mg/5ml Liquid (Rosemont Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
37303	Miconazole Cream (Hillcross Pharmaceuticals Ltd)	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
37681	Erythrocin IV lactobionate 1g powder for solution for infusion vials (AMCo)	Erythromycin lactobionate	05010500	Macrolides
37694	Erythromycin estolate 500mg tablets	Erythromycin Lactobionate	05010500/13060201	Macrolides/Oral Antibacterials For Acne
37789	Miconazole with hydrocortisone 2% with 1% Cream	Miconazole Nitrate/Hydrocortisone Acetate	13040200/13100200	Mild Topical Corticosteroids/Antifungal Preparations (topical, For Skin Conditions)
37796	Erythromycin estolate 125mg/5ml suspension	Erythromycin Lactobionate	05010500/13060201	Macrolides/Oral Antibacterials For Acne
38056	Ciclosporin 50mg/1ml solution for infusion ampoules	Ciclosporin	08020200	Corticosteroids And Other Immunosuppressants
38163	Clarithromycin 500mg tablets (A A H Pharmaceuticals Ltd)	Clarithromycin	05010500	Macrolides
38380	Miconazole 50mg muco-adhesive buccal tablets sugar free	Miconazole	12030200	Oropharyngeal Anti-infective Drugs
38525	Ciclosporin 2% eye ointment	Ciclosporin	11080000/18010000	Miscellaneous Ophthalmic Preparations/Miscellaneous Specials
38997	Klaricid Paediatric 125mg/5ml oral suspension (Mylan)	Clarithromycin	05010500	Macrolides
39007	Loramyc 50mg muco-adhesive buccal tablets (Laboratoires BioAlliance Pharma)	Miconazole	12030200	Oropharyngeal Anti-infective Drugs
39010	Klaricid Paediatric 250mg/5ml oral suspension (Mylan)	Clarithromycin	05010500	Macrolides
39118	Primacine 250mg/5ml Liquid (Pinewood Healthcare)	Erythromycin ethyl succinate	05010500	Macrolides
39420	Bezalip Mono 400mg modified-release tablets (Teva UK Ltd)	Bezafibrate	02120300	Fibrates
39576	Bezalip 200mg tablets (Teva UK Ltd)	Bezafibrate	02120300	Fibrates
39613	Erythrocin 500 tablets (AMCo)	Erythromycin stearate	05010500	Macrolides
39616	Erythrocin 250 tablets (AMCo)	Erythromycin stearate	05010500	Macrolides
39623	Erythroped PI SF 125mg/5ml oral suspension (AMCo)	Erythromycin ethyl succinate	05010500	Macrolides
39632	Erythroped A 500mg tablets (AMCo)	Erythromycin ethyl succinate	05010500	Macrolides
39642	Erythroped Forte SF 500mg/5ml oral suspension (AMCo)	Erythromycin ethyl succinate	05010500	Macrolides
39669	Erythroped SF 250mg/5ml oral suspension (AMCo)	Erythromycin ethyl succinate	05010500	Macrolides
39787	Ciclosporin 0.2% eye ointment	Ciclosporin	11080000/18010000	Miscellaneous Ophthalmic Preparations/Miscellaneous Specials
40073	Erythromycin estolate 250mg/5ml suspension	Erythromycin Lactobionate	05010500/13060201	Macrolides/Oral Antibacterials For Acne
40672	Daktarin 20mg/g oromucosal gel (McNeil Products Ltd)	Miconazole	12030200	Oropharyngeal Anti-infective Drugs
40784	Clarithromycin 500mg tablets (Sandoz Ltd)	Clarithromycin	05010500	Macrolides
41389	Erythoden 250mg/5ml Liquid (Stevenden Healthcare)	Erythromycin ethyl succinate	05010500	Macrolides
41396	Fenofibrate micronised 200mg capsules (A A H Pharmaceuticals Ltd)	Fenofibrate micronised	02120300	Fibrates
41453	Clarithromycin 125mg/5ml oral suspension (Ranbaxy (UK) Ltd)	Clarithromycin	05010500	Macrolides
41584	Erythromycin 250mg/5ml Liquid (IVAX Pharmaceuticals UK Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
41604	Erythromycin 500mg Tablet (Hillcross Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
42087	Fluconazole 200mg capsules (Teva UK Ltd)	Fluconazole	05020100	Triazole Antifungals
42296	Erythromycin 250mg gastro-resistant tablets (Dr Reddy's Laboratories (UK) Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
42448	Deximune 50mg capsules (Dexcel-Pharma Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
42449	Deximune 100mg capsules (Dexcel-Pharma Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
42637	Deximune 25mg capsules (Dexcel-Pharma Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
42659	Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Abbott Laboratories Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
42661	Erythromycin 250mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
42801	Bezafibrate xl 400mg Modified-release tablet (Generics (UK) Ltd)	Bezafibrate	02120300	Fibrates
42897	Fluconazole 50mg capsules (Teva UK Ltd)	Fluconazole	05020100	Triazole Antifungals
42924	Ciclosporin 250mg/5ml solution for infusion ampoules	Ciclosporin	08020200	Corticosteroids And Other Immunosuppressants
43112	Dronedarone 400mg tablets	Dronedarone hydrochloride	02030202	Supraventricular Arrhythmias
43532	Fluconazole 200mg capsules (Actavis UK Ltd)	Fluconazole	05020100	Triazole Antifungals
43539	Fluconazole 50mg capsules (IVAX Pharmaceuticals UK Ltd)	Fluconazole	05020100	Triazole Antifungals
43692	Fluconazole 150mg capsules (A A H Pharmaceuticals Ltd)	Fluconazole	05020100	Triazole Antifungals
44308	Diflucan 2mg/ml Infusion (Pfizer Ltd)	Fluconazole	05020000/12030200	Antifungal Drugs/Oropharyngeal Anti-infective Drugs
44437	Multaq 400mg tablets (Sanofi)	Dronedarone hydrochloride	02030202	Supraventricular Arrhythmias
45240	Fluconazole 150mg Capsule (Niche Generics Ltd)	Fluconazole	05020000/12030200	Antifungal Drugs/Oropharyngeal Anti-infective Drugs
45591	Clarie XL 500mg tablets (Teva UK Ltd)	Clarithromycin	05010500	Macrolides
45795	Clarithromycin 125mg/5ml oral suspension (A A H Pharmaceuticals Ltd)	Clarithromycin	05010500	Macrolides
45870	Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Pinewood Healthcare)	Erythromycin ethyl succinate	05010500	Macrolides
46154	Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Abbott Laboratories Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
46251	Diflucan 50mg/25ml solution for infusion vials (Pfizer Ltd)	Fluconazole	05020100	Triazole Antifungals
46395	Capimune 100mg capsules (Mylan)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
46488	Clarithromycin 500mg tablets (Ranbaxy (UK) Ltd)	Clarithromycin	05010500	Macrolides
46637	Capimune 25mg capsules (Mylan)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
46696	Erythromycin ethyl succinate 250mg/5ml oral suspension (Sandoz Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
46923	Fluconazole 50mg capsules (Sandoz Ltd)	Fluconazole	05020100	Triazole Antifungals
46962	Colchicine 500microgram tablets (A A H Pharmaceuticals Ltd)	Colchicine	10010450	Acute Attacks Of Gout
47042	Ciclosporin 100mg Capsule (Hillcross Pharmaceuticals Ltd)	Ciclosporin	01050300/08020200	Drugs Affecting The Immune Response (in Chronic Bowel Disorders)/Corticosteroids And Other Immunosuppressants
47047	Capsorin 50mg capsules (Morningside Healthcare Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
47102	Capimune 50mg capsules (Mylan)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
47126	Erythromycin ethyl succinate 125mg/5ml oral suspension (Pinewood Healthcare)	Erythromycin ethyl succinate	05010500	Macrolides
47192	Capsorin 100mg capsules (Morningside Healthcare Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
47242	Erythromycin 250mg/5ml Liquid (C P Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
47377	Ciclosporin 25mg Capsule (Hillcross Pharmaceuticals Ltd)	Ciclosporin	01050300/08020200	Drugs Affecting The Immune Response (in Chronic Bowel Disorders)/Corticosteroids And Other Immunosuppressants
47471	Capsorin 25mg capsules (Morningside Healthcare Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
47582	Clarithromycin 250mg tablets (Sandoz Ltd)	Clarithromycin	05010500	Macrolides
47676	Erythromycin 500mg/5ml Liquid (C P Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
47846	Fluconazole 200mg capsules (Zentiva)	Fluconazole	05020100	Triazole Antifungals
47935	Fenofibrate 200mg Capsule (Teva UK Ltd)	Fenofibrate micronised	02120300	Fibrates
48017	Erythoden 125mg/5ml Liquid (Stevenden Healthcare)	Erythromycin ethyl succinate	05010500	Macrolides
48023	Clarithromycin 500mg tablets (Actavis UK Ltd)	Clarithromycin	05010500	Macrolides
48101	Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Focus Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
48163	Clarithromycin 250mg tablets (Actavis UK Ltd)	Clarithromycin	05010500	Macrolides
48264	Diflucan 150mg capsules (Waymade Healthcare Plc)	Fluconazole	05020000/05020100	Antifungal Drugs/Triazole Antifungals
48556	Ciclosporin 100mg capsules (Phoenix Healthcare Distribution Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
48763	Ciclosporin 25mg capsules (Phoenix Healthcare Distribution Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
48798	Ciclosporin 50mg capsules (Phoenix Healthcare Distribution Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
49101	Diflucan 150mg capsules (Necessity Supplies Ltd)	Fluconazole	05020100	Triazole Antifungals
49138	Diflucan 150mg capsules (Lexon (UK) Ltd)	Fluconazole	05020100	Triazole Antifungals
49252	Ciclosporin 0.05% eye drops 0.4ml unit dose preservative free	Ciclosporin	11080000/18010000	Miscellaneous Ophthalmic Preparations/Miscellaneous Specials
49301	Erythrolar 500mg tablets (Ennogen Pharma Ltd)	Erythromycin stearate	05010500	Macrolides
49609	Bezafibrate 400mg Modified-release tablet (Sandoz Ltd)	Bezafibrate	02120300	Fibrates
49939	Clarithromycin 500mg tablets (Alliance Healthcare (Distribution) Ltd)	Clarithromycin	05010500	Macrolides
49952	Erythromycin 250mg gastro-resistant capsules (Phoenix Healthcare Distribution Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
49958	Neoral 25mg capsules (DE Pharmaceuticals)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
49978	Erythromycin ethyl succinate 125mg/5ml oral suspension (Focus Pharmaceuticals Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
50071	Fenofibrate 160mg Tablet (Teva UK Ltd)	Fenofibrate micronised	02120300	Fibrates
50091	Diflucan 50mg capsules (Lexon (UK) Ltd)	Fluconazole	05020100	Triazole Antifungals
50205	Erythrolar 250mg tablets (Ennogen Pharma Ltd)	Erythromycin stearate	05010500	Macrolides
50223	Erythrocin 500 tablets (Stephar (U.K.) Ltd)	Erythromycin stearate	05010500	Macrolides
50580	Erythromycin 250mg gastro-resistant capsules (Actavis UK Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
50693	Erythrocin 500 tablets (Sigma Pharmaceuticals Plc)	Erythromycin stearate	05010500	Macrolides
50694	Erythromycin 250mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
50759	Daktacort 2%/1% cream (Sigma Pharmaceuticals Plc)	Hydrocortisone/Miconazole nitrate	13040000/13040100	Topical Corticosteroids/Topical Corticosteroids With Antimicrobials
50946	Clarithromycin 250mg tablets (Sigma Pharmaceuticals Plc)	Clarithromycin	05010500	Macrolides
50948	Erythromycin ethyl succinate 125mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
51154	Clarithromycin 250mg tablets (Kent Pharmaceuticals Ltd)	Clarithromycin	05010500	Macrolides
51229	Gyno-Daktarin 2% cream (Janssen-Cilag Ltd)	Miconazole nitrate	07020250	Preparations For Vaginal And Vulval Candidiasis
51426	Clarithromycin 500mg tablets (Accord Healthcare Ltd)	Clarithromycin	05010500	Macrolides
51831	Clarithromycin 125mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd)	Clarithromycin	05010500	Macrolides
51984	Erythrocin 500 tablets (Mawdsley-Brooks & Company Ltd)	Erythromycin stearate	05010500	Macrolides
52158	Clarithromycin 250mg tablets (Alliance Healthcare (Distribution) Ltd)	Clarithromycin	05010500	Macrolides
52411	Klaricid 250mg tablets (Necessity Supplies Ltd)	Clarithromycin	05010500	Macrolides
52428	Erythromycin 250mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
52482	Zineryt lotion (Sigma Pharmaceuticals Plc)	Erythromycin/Zinc acetate	13060102	Topical Antibacterials For Acne
52615	Neoral 100mg capsules (Sigma Pharmaceuticals Plc)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
52719	Clarithromycin 250mg tablets (Apotex UK Ltd)	Clarithromycin	05010500	Macrolides
52743	Ciclosporin 25mg capsules (Sigma Pharmaceuticals Plc)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
52768	Diflucan 150mg capsules (DE Pharmaceuticals)	Fluconazole	05020100	Triazole Antifungals
52814	Bezafibrate 400mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)	Bezafibrate	02120300	Fibrates
52860	Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
52906	Erythromycin 250mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
52952	Erythromycin 250mg gastro-resistant tablets (Strides Shasun (UK) Ltd)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
53004	Erythrocin 500 tablets (Necessity Supplies Ltd)	Erythromycin stearate	05010500	Macrolides
53086	Clarithromycin 250mg tablets (DE Pharmaceuticals)	Clarithromycin	05010500	Macrolides
53100	Zineryt lotion (DE Pharmaceuticals)	Erythromycin/Zinc acetate	13060102	Topical Antibacterials For Acne
53109	Clarithromycin 500mg tablets (Somex Pharma)	Clarithromycin	05010500	Macrolides
53144	Clarithromycin 250mg tablets (Wockhardt UK Ltd)	Clarithromycin	05010500	Macrolides
53153	Clarithromycin 250mg tablets (Phoenix Healthcare Distribution Ltd)	Clarithromycin	05010500	Macrolides
53168	Clarithromycin 125mg/5ml oral suspension (Sandoz Ltd)	Clarithromycin	05010500	Macrolides
53175	Neoral 25mg capsules (Mawdsley-Brooks & Company Ltd)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
53176	Neoral 50mg capsules (DE Pharmaceuticals)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
53179	Clarithromycin 250mg/5ml oral suspension (Sandoz Ltd)	Clarithromycin	05010500	Macrolides
53186	Daktarin 2% cream (DE Pharmaceuticals)	Miconazole nitrate	13100200	Antifungal Preparations (topical, For Skin Conditions)
53250	Modalim 100mg tablets (Lexon (UK) Ltd)	Ciprofibrate	02120300	Fibrates
53277	Fluconazole 50mg capsules (Alliance Healthcare (Distribution) Ltd)	Fluconazole	05020100	Triazole Antifungals
53398	Clarithromycin 500mg powder for concentrate for solution for infusion vials (Mercury Pharma Group Ltd)	Clarithromycin	05010500	Macrolides
53449	Erythrocin 500 tablets (Lexon (UK) Ltd)	Erythromycin stearate	05010500	Macrolides
53688	Clarithromycin 250mg tablets (Ranbaxy (UK) Ltd)	Clarithromycin	05010500	Macrolides
53703	Clarithromycin 500mg tablets (Kent Pharmaceuticals Ltd)	Clarithromycin	05010500	Macrolides
53715	Clarithromycin 500mg tablets (Almus Pharmaceuticals Ltd)	Clarithromycin	00000000	Unknown
53776	Clarithromycin 500mg tablets (DE Pharmaceuticals)	Clarithromycin	05010500	Macrolides
53875	Clarithromycin 500mg tablets (Tillomed Laboratories Ltd)	Clarithromycin	05010500	Macrolides
53969	Ciclosporin 2% eye drops	Ciclosporin	11080000/18010000	Miscellaneous Ophthalmic Preparations/Miscellaneous Specials
53986	Erythromycin 250mg gastro-resistant tablets (Medreich Plc)	Erythromycin	05010500/13060201	Macrolides/Oral Antibacterials For Acne
54098	Erythroped A 500mg tablets (Lexon (UK) Ltd)	Erythromycin ethyl succinate	05010500	Macrolides
54134	Ciclosporin 100mg capsules (Sigma Pharmaceuticals Plc)	Ciclosporin	08020200/10010302/13050300	Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis
54208	Clarithromycin 250mg/5ml oral suspension (Sigma Pharmaceuticals Plc)	Clarithromycin	05010500	Macrolides
54241	Clarithromycin 250mg/5ml oral suspension (A A H Pharmaceuticals Ltd)	Clarithromycin	05010500	Macrolides
54269	Clarithromycin 250mg tablets (Somex Pharma)	Clarithromycin	05010500	Macrolides
54472	Clarithromycin 250mg tablets (Accord Healthcare Ltd)	Clarithromycin	05010500	Macrolides
54495	Fluconazole 50mg capsules (Wockhardt UK Ltd)	Fluconazole	05020100	Triazole Antifungals
